camera,day,frame_file,frame_path,timestamp,person_id_in_frame,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area,center_x,center_y,confidence
bar_stage,day3,bar_stage_day3_18-00-00.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-00.jpg,18:00:00,1,882.89,283.28,1332.1,996.23,449.2,712.96,320263.2,1107.49,639.75,0.8875
bar_stage,day3,bar_stage_day3_18-00-00.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-00.jpg,18:00:00,2,1340.09,236.3,1636.43,916.7,296.34,680.4,201630.02,1488.26,576.5,0.8639
bar_stage,day3,bar_stage_day3_18-00-00.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-00.jpg,18:00:00,3,0.2,670.17,236.91,1073.95,236.71,403.79,95579.92,118.55,872.06,0.8522
bar_stage,day3,bar_stage_day3_18-00-00.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-00.jpg,18:00:00,4,218.47,637.26,555.15,1072.75,336.67,435.49,146617.03,386.81,855.01,0.8379
bar_stage,day3,bar_stage_day3_18-00-03.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-03.jpg,18:00:03,1,552.05,592.82,947.95,1072.53,395.9,479.71,189914.95,750.0,832.67,0.8938
bar_stage,day3,bar_stage_day3_18-00-03.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-03.jpg,18:00:03,2,887.78,278.85,1285.69,981.12,397.9,702.26,279431.74,1086.73,629.99,0.8759
bar_stage,day3,bar_stage_day3_18-00-03.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-03.jpg,18:00:03,3,1332.35,238.18,1644.68,917.73,312.33,679.55,212247.45,1488.51,577.95,0.8723
bar_stage,day3,bar_stage_day3_18-00-03.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-03.jpg,18:00:03,4,1270.05,1008.15,1438.77,1079.73,168.71,71.58,12076.18,1354.41,1043.94,0.5755
bar_stage,day3,bar_stage_day3_18-00-03.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-03.jpg,18:00:03,5,0.0,662.65,223.05,1072.69,223.05,410.03,91457.37,111.52,867.67,0.5665
bar_stage,day3,bar_stage_day3_18-00-03.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-03.jpg,18:00:03,6,874.32,298.75,919.84,427.77,45.52,129.03,5873.94,897.08,363.26,0.419
bar_stage,day3,bar_stage_day3_18-00-06.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-06.jpg,18:00:06,1,1336.98,242.92,1631.86,918.57,294.88,675.65,199233.83,1484.42,580.75,0.8451
bar_stage,day3,bar_stage_day3_18-00-06.jpg,data/raw_frames/bar_stage/day3 (04-10)/bar_stage_day3_18-00-06.jpg,18:00:06,2,0.25,645.66,179.27,1075.11,179.02,429.44,76877.51,89.76,860.39,0.7791
