camera,day,frame_file,frame_path,timestamp,person_id_in_frame,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area,center_x,center_y,confidence
inside_bar,day4,inside_bar_day4_18-00-00.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-00.jpg,18:00:00,1,634.68,382.1,848.43,998.32,213.75,616.22,131714.25,741.55,690.21,0.8183
inside_bar,day4,inside_bar_day4_18-00-00.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-00.jpg,18:00:00,2,1352.35,231.54,1529.62,687.49,177.28,455.95,80829.29,1440.98,459.52,0.7951
inside_bar,day4,inside_bar_day4_18-00-00.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-00.jpg,18:00:00,3,548.28,294.96,670.21,747.99,121.92,453.03,55234.47,609.25,521.47,0.7359
inside_bar,day4,inside_bar_day4_18-00-00.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-00.jpg,18:00:00,4,835.19,367.97,1100.88,891.45,265.7,523.48,139086.51,968.04,629.71,0.7202
inside_bar,day4,inside_bar_day4_18-00-00.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-00.jpg,18:00:00,5,1021.65,17.68,1106.25,258.24,84.6,240.55,20351.18,1063.95,137.96,0.4604
inside_bar,day4,inside_bar_day4_18-00-00.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-00.jpg,18:00:00,6,719.49,273.85,864.28,491.98,144.78,218.13,31581.9,791.89,382.92,0.3778
inside_bar,day4,inside_bar_day4_18-00-00.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-00.jpg,18:00:00,7,1597.75,392.35,1785.07,771.57,187.32,379.23,71037.08,1691.41,581.96,0.3329
inside_bar,day4,inside_bar_day4_18-00-00.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-00.jpg,18:00:00,8,1682.1,175.33,1769.21,391.25,87.11,215.92,18808.8,1725.65,283.29,0.2797
inside_bar,day4,inside_bar_day4_18-00-00.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-00.jpg,18:00:00,9,1785.89,211.55,1867.91,326.14,82.02,114.58,9398.31,1826.9,268.85,0.2609
inside_bar,day4,inside_bar_day4_18-00-03.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-03.jpg,18:00:03,1,809.89,484.26,1048.02,1075.36,238.13,591.1,140759.32,928.95,779.81,0.8714
inside_bar,day4,inside_bar_day4_18-00-03.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-03.jpg,18:00:03,2,590.59,393.78,835.44,998.39,244.85,604.61,148037.0,713.01,696.08,0.8138
inside_bar,day4,inside_bar_day4_18-00-03.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-03.jpg,18:00:03,3,1591.26,338.97,1776.47,777.82,185.21,438.85,81278.64,1683.87,558.39,0.7904
inside_bar,day4,inside_bar_day4_18-00-03.jpg,data/raw_frames/inside_bar/day4 (04-11)/inside_bar_day4_18-00-03.jpg,18:00:03,4,1356.81,219.12,1537.72,689.78,180.91,470.65,85146.73,1447.26,454.45,0.6431
